product,outcome,specification,term,estimate,std_error,p_value,ci_low,ci_high,n_obs,r2_adj
diesel,exports_kt,2013 held constant,const,11.939616902443394,8.254273580633148,0.1480434579659422,-4.238462034138049,28.117695839024837,276,0.5872215910087231
diesel,exports_kt,2013 held constant,trend,0.09578065725979987,0.058303708306657015,0.10042671548287545,-0.018492511186376667,0.21005382570597642,276,0.5872215910087231
diesel,exports_kt,2013 held constant,control_2013,137.09055783508018,19.838321991276796,4.8332035636750966e-12,98.20816121846872,175.97295445169163,276,0.5872215910087231
diesel,exports_kt,2013 held constant,control_2013_trend,-0.49668991907539506,0.3616952572930151,0.1696815942928993,-1.205599596748653,0.2122197585978629,276,0.5872215910087231
diesel,exports_kt,2013 held constant,matosinhos_transition,-0.2422491695341007,24.558954872161756,0.9921298060573239,-48.376916216915625,47.89241787784743,276,0.5872215910087231
diesel,exports_kt,2013 held constant,matosinhos_transition_trend,-11.41325971294236,2.185608816096925,1.7699638711953933e-07,-15.696974276785559,-7.12954514909916,276,0.5872215910087231
diesel,exports_kt,2013 held constant,energy_stress_2022,-71.65345179461093,27.29275469447555,0.008655604263018956,-125.1462680346695,-18.160635554552364,276,0.5872215910087231
diesel,exports_kt,2013 held constant,energy_stress_2022_trend,-2.1589057567861634,2.485725574291664,0.38510898408581007,-7.030838357847967,2.7130268442756407,276,0.5872215910087231
diesel,exports_kt,2013 held constant,post_stress,-82.96083037797904,29.882004625026138,0.0054984727740891165,-141.5284832288896,-24.39317752706848,276,0.5872215910087231
diesel,exports_kt,2013 held constant,post_stress_trend,1.946703776569117,1.263491578730321,0.12338166499880968,-0.5296942125119661,4.4231017656502,276,0.5872215910087231
diesel,exports_kt,2013 held constant,month_2,-5.553166257750632,13.15326139380279,0.6728868488472585,-31.333084868845212,20.226752353343947,276,0.5872215910087231
diesel,exports_kt,2013 held constant,month_3,-15.659436624386164,11.752575406660444,0.182720254708562,-38.69406114703182,7.375187898259487,276,0.5872215910087231
diesel,exports_kt,2013 held constant,month_4,-5.136705228056513,12.842093526122838,0.6891640979308806,-30.306746025352265,20.033335569239238,276,0.5872215910087231
diesel,exports_kt,2013 held constant,month_5,-0.7338760417473746,13.888036455940846,0.9578575435248053,-27.953927311370727,26.486175227875975,276,0.5872215910087231
diesel,exports_kt,2013 held constant,month_6,10.067692733405721,13.913886709612775,0.46932880578173386,-17.203024102405838,37.338409569217276,276,0.5872215910087231
diesel,exports_kt,2013 held constant,month_7,-10.435086317528217,11.378953415649184,0.3591156531230062,-32.73742519395965,11.867252558903214,276,0.5872215910087231
diesel,exports_kt,2013 held constant,month_8,-13.111778411940328,11.405396903610049,0.2503038122189932,-35.46594557240067,9.242388748520018,276,0.5872215910087231
diesel,exports_kt,2013 held constant,month_9,-15.136296593309003,13.493272223064624,0.26196186454282067,-41.58262418411038,11.31003099749237,276,0.5872215910087231
diesel,exports_kt,2013 held constant,month_10,-11.508640861634234,13.255023002033328,0.3852588444594789,-37.48800855986954,14.470726836601077,276,0.5872215910087231
diesel,exports_kt,2013 held constant,month_11,-9.402724260394184,12.691336956674107,0.4587678019719519,-34.27728761113761,15.471839090349242,276,0.5872215910087231
diesel,exports_kt,2013 held constant,month_12,4.051018427802433,9.283512518236954,0.6625704839653351,-14.14433175796874,22.246368613573605,276,0.5872215910087231
diesel,demand_kt,no 2013 control,const,452.06783153233494,7.017453855032216,0.0,438.31387471330004,465.82178835136983,276,0.48894405107136696
diesel,demand_kt,no 2013 control,trend,-0.3868099189265562,0.046504596710933106,8.970888269070022e-17,-0.477957253595545,-0.2956625842575674,276,0.48894405107136696
diesel,demand_kt,no 2013 control,matosinhos_transition,11.473318456006051,11.152044321501613,0.30356965207152276,-10.384286768131535,33.33092368014364,276,0.48894405107136696
diesel,demand_kt,no 2013 control,matosinhos_transition_trend,3.3613106636876404,2.368262834985308,0.15580723807087998,-1.2803991988082881,8.003020526183569,276,0.48894405107136696
diesel,demand_kt,no 2013 control,energy_stress_2022,37.05125064147551,16.091324228854333,0.02130357297350324,5.5128346893642615,68.58966659358677,276,0.48894405107136696
diesel,demand_kt,no 2013 control,energy_stress_2022_trend,0.5190947957762388,2.374833901511333,0.8269760522896484,-4.135494120450716,5.173683712003193,276,0.48894405107136696
diesel,demand_kt,no 2013 control,post_stress,56.2489920539972,11.449851677405443,8.985846866682747e-07,33.807695137957005,78.69028897003739,276,0.48894405107136696
diesel,demand_kt,no 2013 control,post_stress_trend,-1.1722499380145488,0.5704971053193387,0.03989959891586514,-2.290403717724807,-0.05409615830429071,276,0.48894405107136696
diesel,demand_kt,no 2013 control,month_2,-15.874790550102489,4.778541080464861,0.0008934271991214965,-25.240558966458735,-6.509022133746244,276,0.48894405107136696
diesel,demand_kt,no 2013 control,month_3,21.730209093335326,8.715954103822996,0.012661419383179847,4.647252958938168,38.81316522773248,276,0.48894405107136696
diesel,demand_kt,no 2013 control,month_4,9.196384450533856,9.77396482585638,0.34675291187646207,-9.960234594305952,28.353003495373663,276,0.48894405107136696
diesel,demand_kt,no 2013 control,month_5,36.55502422268849,8.074537641253531,5.9771157018688415e-06,20.72922125401857,52.38082719135841,276,0.48894405107136696
diesel,demand_kt,no 2013 control,month_6,13.048968681465567,8.248016713168097,0.11363279206475449,-3.1168470202283345,29.21478438315947,276,0.48894405107136696
