year,country_jodi,product,flow,value_kt_jodi,source_jodi,status,country_eurostat,value_kt_eurostat,source_eurostat,difference_kt,difference_pct_comparison,reconciliation_status
2018,PT,gasoline,imports,148.0,JODI,downloaded,PT,149.197,Eurostat,-1.1970000000000027,-0.8022949523113754,within_tolerance
2019,PT,diesel,exports,899.0,JODI,downloaded,PT,899.898,Eurostat,-0.8980000000000246,-0.09978908720766404,within_tolerance
2019,PT,diesel,imports,1075.0,JODI,downloaded,PT,1257.736,Eurostat,-182.7360000000001,-14.528963152839712,review
2019,PT,gasoline,exports,1572.0,JODI,downloaded,PT,1585.344,Eurostat,-13.344000000000051,-0.8417100641879649,within_tolerance
2019,PT,gasoline,imports,232.0,JODI,downloaded,PT,261.213,Eurostat,-29.213000000000022,-11.183593465868856,review
2020,PT,diesel,exports,1304.0,JODI,downloaded,PT,1302.675,Eurostat,1.3250000000000455,0.10171378125779995,within_tolerance
2020,PT,diesel,imports,875.0,JODI,downloaded,PT,929.434,Eurostat,-54.43399999999997,-5.856682669237403,review
2020,PT,gasoline,exports,1278.0,JODI,downloaded,PT,1271.342,Eurostat,6.657999999999902,0.5236985799257714,within_tolerance
2020,PT,gasoline,imports,192.0,JODI,downloaded,PT,192.841,Eurostat,-0.8410000000000082,-0.4361105781446934,within_tolerance
2021,PT,diesel,exports,1378.0,JODI,downloaded,PT,1377.206,Eurostat,0.7940000000000964,0.05765295823573935,within_tolerance
2021,PT,diesel,imports,1491.0,JODI,downloaded,PT,1499.906,Eurostat,-8.905999999999949,-0.5937705429540218,within_tolerance
2021,PT,gasoline,exports,1431.0,JODI,downloaded,PT,1423.946,Eurostat,7.054000000000087,0.4953839541668074,within_tolerance
2021,PT,gasoline,imports,255.0,JODI,downloaded,PT,202.473,Eurostat,52.52699999999999,25.942718288364368,review
2022,PT,diesel,exports,331.0,JODI,downloaded,PT,622.203,Eurostat,-291.203,-46.80192798813248,review
2022,PT,diesel,imports,1275.0,JODI,downloaded,PT,1316.11,Eurostat,-41.1099999999999,-3.123599091261361,within_tolerance
2022,PT,gasoline,exports,1346.0,JODI,downloaded,PT,1501.699,Eurostat,-155.69900000000007,-10.36818963054514,review
2022,PT,gasoline,imports,231.0,JODI,downloaded,PT,230.427,Eurostat,0.5730000000000075,0.24866877579450652,within_tolerance
2023,PT,diesel,exports,285.0,JODI,downloaded,PT,283.668,Eurostat,1.3319999999999936,0.4695630102796204,within_tolerance
2023,PT,diesel,imports,1597.0,JODI,downloaded,PT,1631.591,Eurostat,-34.590999999999894,-2.1200778871665693,within_tolerance
2023,PT,gasoline,exports,1254.0,JODI,downloaded,PT,1254.246,Eurostat,-0.2460000000000946,-0.019613377280062648,within_tolerance
2023,PT,gasoline,imports,348.0,JODI,downloaded,PT,346.582,Eurostat,1.4180000000000064,0.40913838572112987,within_tolerance
2024,PT,diesel,exports,731.0,JODI,downloaded,PT,728.175,Eurostat,2.8250000000000455,0.387956191849493,within_tolerance
2024,PT,diesel,imports,1222.0,JODI,downloaded,PT,1254.293,Eurostat,-32.29299999999989,-2.5745978013111688,within_tolerance
2024,PT,gasoline,exports,1697.0,JODI,downloaded,PT,1728.079,Eurostat,-31.07899999999995,-1.798471018975403,within_tolerance
2024,PT,gasoline,imports,302.0,JODI,downloaded,PT,299.797,Eurostat,2.2029999999999745,0.7348305686848015,within_tolerance
