product,outcome,event_year,specification,covariance,interpretation,term,estimate,std_error,p_value,ci_low,ci_high,ci_level,nobs
diesel,net_import_to_demand_ratio,2022,single event,HAC(1),associational interrupted trend,const,0.02016310264150855,0.07409514361501096,0.7855263050118841,-0.12506071027323587,0.16538691555625298,0.95,34
diesel,net_import_to_demand_ratio,2022,single event,HAC(1),associational interrupted trend,trend,-0.001061615747628988,0.00432656619553583,0.8061688461243347,-0.009541529667607697,0.00741829817234972,0.95,34
diesel,net_import_to_demand_ratio,2022,single event,HAC(1),associational interrupted trend,post,0.2007197591307956,0.09294254275168647,0.030802778286469816,0.018555722705915878,0.3828837955556753,0.95,34
diesel,net_import_to_demand_ratio,2022,single event,HAC(1),associational interrupted trend,post_trend,-0.016703110700115098,0.0333218640557846,0.6161840741235741,-0.08201276414719269,0.048606542746962494,0.95,34
diesel,net_import_to_demand_ratio,2022,controlling for 2013,HAC(1),associational interrupted trend,const,-0.10920683480706178,0.07829852394939073,0.16309136263394508,-0.2626691217905145,0.04425545217639093,0.95,34
diesel,net_import_to_demand_ratio,2022,controlling for 2013,HAC(1),associational interrupted trend,trend,0.015300700622312959,0.0048219850303996125,0.0015081411140806093,0.0058497836287384405,0.024751617615887476,0.95,34
diesel,net_import_to_demand_ratio,2022,controlling for 2013,HAC(1),associational interrupted trend,post,0.15167343753177964,0.07306481674039371,0.03790549942941054,0.008469028183588745,0.29487784687997054,0.95,34
diesel,net_import_to_demand_ratio,2022,controlling for 2013,HAC(1),associational interrupted trend,post_trend,-0.05207874826989493,0.036092503345883375,0.14904181150104884,-0.12281875493971775,0.01866125839992789,0.95,34
diesel,net_import_to_demand_ratio,2022,controlling for 2013,HAC(1),associational interrupted trend,post_2013,-0.516297755589099,0.06463186364207603,1.368286887356602e-15,-0.6429738805812717,-0.38962163059692617,0.95,34
diesel,net_import_to_demand_ratio,2022,controlling for 2013,HAC(1),associational interrupted trend,post_trend_2013,0.019013321199838125,0.011977149243293704,0.11240706599310554,-0.004461459954478695,0.04248810235415494,0.95,34
gasoline,exports_kt,2013,single event,HAC(1),associational interrupted trend,const,353.17391304347854,99.18206208313242,0.0003696353918045241,158.7806434481233,547.5671826388337,0.95,34
gasoline,exports_kt,2013,single event,HAC(1),associational interrupted trend,trend,30.73517786561264,6.822801434691311,6.64436462933169e-06,17.36273277994946,44.10762295127582,0.95,34
