year,product,imports_kt,exports_kt,demand_kt,refinery_output_kt,refining_regime,net_imports_kt,gross_import_dependence,net_import_to_demand_ratio,export_to_demand,refinery_output_to_demand_ratio,imports_kt_yoy_change,exports_kt_yoy_change,exports_kt_yoy_pct,demand_kt_yoy_change,demand_kt_yoy_pct,refinery_output_kt_yoy_change,refinery_output_kt_yoy_pct,net_imports_kt_yoy_change
2000,diesel,1271.0,152.0,4759.0,3794.0,two_refineries,1119.0,0.2670729144778315,0.23513343139314982,0.031939483084681655,0.7972263080479092,1003.0,74.0,94.87179487179486,531.0,12.559129612109743,-485.0,-11.334423930824954,929.0
2001,diesel,943.0,90.0,5183.0,4533.0,two_refineries,853.0,0.18194096083349412,0.16457650009646924,0.01736446073702489,0.8745900057881536,-328.0,-62.0,-40.789473684210535,424.0,8.909434755200675,739.0,19.478123352662102,-266.0
2002,diesel,620.0,6.0,5284.0,4827.0,two_refineries,614.0,0.11733535200605602,0.1161998485995458,0.0011355034065102195,0.9135124905374716,-323.0,-84.0,-93.33333333333333,101.0,1.948678371599466,294.0,6.485771012574459,-239.0
2003,diesel,949.0,51.0,5335.0,4955.0,two_refineries,898.0,0.17788191190253047,0.1683223992502343,0.009559512652296157,0.9287722586691659,329.0,45.0,750.0,51.0,0.9651778955336976,128.0,2.6517505697120303,284.0
2004,diesel,841.0,71.0,5538.0,4703.0,two_refineries,770.0,0.15185987721198987,0.13903936439147707,0.01282051282051282,0.849223546406645,-108.0,20.0,39.2156862745098,203.0,3.805060918462977,-252.0,-5.085771947527751,-128.0
2005,diesel,877.0,211.0,5492.0,4906.0,two_refineries,666.0,0.15968681718863803,0.12126729788783686,0.03841951930080117,0.8932993445010925,36.0,140.0,197.1830985915493,-46.0,-0.8306247742867479,203.0,4.316393791197104,-104.0
2006,diesel,638.0,314.0,5324.0,5102.0,two_refineries,324.0,0.11983471074380166,0.0608564988730278,0.05897821187077385,0.9583020285499624,-239.0,103.0,48.81516587677726,-168.0,-3.0589949016751605,196.0,3.995108030982464,-342.0
2007,diesel,776.0,192.0,5482.0,4634.0,two_refineries,584.0,0.141554177307552,0.10653046333454944,0.03502371397300255,0.8453119299525721,138.0,-122.0,-38.853503184713375,158.0,2.9676934635612273,-468.0,-9.172873382987067,260.0
2008,diesel,1011.0,164.0,5372.0,4478.0,two_refineries,847.0,0.18819806403574088,0.15766939687267312,0.03052866716306776,0.8335815338793745,235.0,-28.0,-14.583333333333337,-110.0,-2.0065669463699365,-156.0,-3.366422097539923,263.0
2009,diesel,1478.0,95.0,5457.0,3810.0,two_refineries,1383.0,0.2708447865127359,0.25343595382078066,0.017408832691955287,0.6981858163826278,467.0,-69.0,-42.07317073170732,85.0,1.5822784810126667,-668.0,-14.91737382760161,536.0
2010,diesel,1185.0,35.0,5506.0,3917.0,two_refineries,1150.0,0.21521976026153286,0.20886305848165637,0.006356701779876499,0.711405739193607,-293.0,-60.0,-63.1578947368421,49.0,0.8979292651640103,107.0,2.80839895013123,-233.0
2011,diesel,1349.0,120.0,5103.0,3576.0,two_refineries,1229.0,0.2643543013913384,0.2408387223202038,0.023515579071134628,0.7007642563198119,164.0,85.0,242.85714285714283,-403.0,-7.319288049400652,-341.0,-8.705642073015063,79.0
2012,diesel,890.0,350.0,4641.0,3872.0,two_refineries,540.0,0.19176901529842708,0.11635423400129283,0.07541478129713423,0.8343029519500108,-459.0,230.0,191.66666666666666,-462.0,-9.053497942386834,296.0,8.277404921700215,-689.0
2013,diesel,578.0,1693.0,4551.0,5399.0,two_refineries,-1115.0,0.12700505383432212,-0.24500109865963524,0.37200615249395735,1.1863326741375522,-312.0,1343.0,383.7142857142857,-90.0,-1.9392372333548846,1527.0,39.436983471074385,-1655.0
2014,diesel,699.0,1295.0,4640.0,4865.0,two_refineries,-596.0,0.15064655172413793,-0.12844827586206897,0.2790948275862069,1.0484913793103448,121.0,-398.0,-23.50856467808624,89.0,1.955614150736107,-534.0,-9.890720503797002,519.0
2015,diesel,782.0,2284.0,4794.0,6104.0,two_refineries,-1502.0,0.16312056737588654,-0.31330830204422194,0.4764288694201085,1.2732582394659993,83.0,989.0,76.37065637065636,154.0,3.318965517241379,1239.0,25.467625899280577,-906.0
2016,diesel,962.0,2076.0,4830.0,5695.0,two_refineries,-1114.0,0.19917184265010351,-0.23064182194616978,0.4298136645962733,1.179089026915114,180.0,-208.0,-9.106830122591948,36.0,0.7509386733416834,-409.0,-6.700524246395812,388.0
2017,diesel,892.763,2079.034,4923.933,5934.611,two_refineries,-1186.2710000000002,0.18131095609952452,-0.24091940324939437,0.42223035934891884,1.2052582762600548,-69.23699999999997,3.0340000000001055,0.1461464354528097,93.93299999999999,1.944782608695661,239.61099999999988,4.207392449517111,-72.27100000000019
2018,diesel,856.654,1134.429,4980.945,5223.634,two_refineries,-277.7750000000001,0.1719862395589592,-0.05576753005704743,0.22775376961600663,1.0487234852021052,-36.10900000000004,-944.605,-45.434802894036366,57.011999999999716,1.157854909886047,-710.9769999999999,-11.980178650294015,908.4960000000001
2019,diesel,1257.736,899.898,5096.877,4613.943,two_refineries,357.8380000000001,0.2467660098527,0.07020730537542892,0.17655870447727107,0.9052490377931427,401.0820000000001,-234.53100000000006,-20.67392494373822,115.9320000000007,2.327510141147937,-609.6909999999998,-11.671778688935708,635.6130000000002
2020,diesel,929.434,1302.675,4441.438,4783.257,two_refineries,-373.241,0.20926420677267135,-0.08403607120036348,0.2933002779730348,1.0769613354953957,-328.30200000000013,402.77699999999993,44.75807258155924,-655.4390000000003,-12.859619723999627,169.3139999999994,3.6696162046214953,-731.0790000000001
2021,diesel,1499.906,1377.206,4780.213,4360.995,transition,122.70000000000005,0.31377388413445173,0.02566831226976707,0.28810557186468466,0.912301397448189,570.472,74.53099999999995,5.721381004471571,338.77499999999964,7.627597188117896,-422.2619999999997,-8.827917881058866,495.94100000000003
2022,diesel,1316.11,622.203,4942.212,4285.346,sines_only,693.9069999999999,0.2662997864114287,0.1404041348286961,0.12589565158273258,0.8670906873278603,-183.79600000000005,-755.0029999999999,-54.82135570132572,161.9990000000007,3.38894940455583,-75.64900000000034,-1.7346729358781787,571.2069999999999
2023,diesel,1631.591,283.668,5141.595,3487.259,sines_only,1347.9229999999998,0.31733168403968026,0.26216047743939375,0.05517120660028649,0.6782445914156988,315.481,-338.53499999999997,-54.40909156657875,199.3829999999998,4.0342866716361,-798.0869999999995,-18.623630390638223,654.0159999999998
2024,diesel,1254.293,728.175,5016.635,4291.379,sines_only,526.1179999999999,0.2500267609662652,0.1048746819332082,0.145152079033057,0.8554297851049557,-377.298,444.50699999999995,156.6997334912644,-124.96000000000004,-2.43037423212058,804.1199999999999,23.058797754912952,-821.8049999999998
1990,gasoline,0.0,294.0,1370.0,1704.0,two_refineries,-294.0,0.0,-0.2145985401459854,0.2145985401459854,1.243795620437956,,,,,,,,
1991,gasoline,122.0,252.0,1507.0,1623.0,two_refineries,-130.0,0.0809555408095554,-0.08626410086264101,0.1672196416721964,1.0769741207697412,122.0,-42.0,-14.28571428571429,137.0,10.000000000000009,-81.0,-4.753521126760562,164.0
1992,gasoline,101.0,244.0,1692.0,1860.0,two_refineries,-143.0,0.05969267139479906,-0.08451536643026004,0.14420803782505912,1.099290780141844,-21.0,-8.0,-3.1746031746031744,185.0,12.27604512276046,237.0,14.602587800369694,-13.0
1993,gasoline,204.0,103.0,1795.0,1687.0,two_refineries,101.0,0.11364902506963788,0.05626740947075209,0.05738161559888579,0.9398328690807799,103.0,-141.0,-57.78688524590163,103.0,6.087470449172572,-173.0,-9.301075268817204,244.0
1994,gasoline,25.0,533.0,1851.0,2354.0,two_refineries,-508.0,0.01350621285791464,-0.2744462452728255,0.28795245813074016,1.2717450027012425,-179.0,430.0,417.4757281553398,56.0,3.119777158774384,667.0,39.537640782454055,-609.0
1995,gasoline,34.0,904.0,1890.0,2757.0,two_refineries,-870.0,0.01798941798941799,-0.4603174603174603,0.4783068783068783,1.4587301587301587,9.0,371.0,69.60600375234523,39.0,2.1069692058346856,403.0,17.119796091758708,-362.0
1996,gasoline,53.0,658.0,1965.0,2591.0,two_refineries,-605.0,0.02697201017811705,-0.30788804071246817,0.33486005089058524,1.3185750636132316,19.0,-246.0,-27.212389380530976,75.0,3.9682539682539764,-166.0,-6.021037359448678,265.0
1997,gasoline,2.0,888.0,1949.0,2835.0,two_refineries,-886.0,0.001026167265264238,-0.45459209851205745,0.45561826577732173,1.4545920985120575,-51.0,230.0,34.95440729483283,-16.0,-0.8142493638676807,244.0,9.417213431107685,-281.0
1998,gasoline,0.0,789.0,2027.0,2792.0,two_refineries,-789.0,0.0,-0.3892451899358658,0.3892451899358658,1.3774050320670943,-2.0,-99.0,-11.148648648648651,78.0,4.002052334530526,-43.0,-1.5167548500881867,97.0
1999,gasoline,11.0,588.0,2079.0,2654.0,two_refineries,-577.0,0.005291005291005291,-0.2775372775372775,0.2828282828282828,1.2765752765752765,11.0,-201.0,-25.47528517110266,52.0,2.5653675382338426,-138.0,-4.942693409742116,212.0
2000,gasoline,154.0,397.0,2123.0,2296.0,two_refineries,-243.0,0.07253886010362694,-0.11446066886481394,0.18699952896844088,1.0814884597268017,143.0,-191.0,-32.48299319727891,44.0,2.1164021164021163,-358.0,-13.489073097211756,334.0
2001,gasoline,10.0,635.0,1995.0,2615.0,two_refineries,-625.0,0.005012531328320802,-0.3132832080200501,0.3182957393483709,1.3107769423558897,-144.0,238.0,59.94962216624684,-128.0,-6.029203956665096,319.0,13.893728222996526,-382.0
2002,gasoline,60.0,540.0,2067.0,2518.0,two_refineries,-480.0,0.02902757619738752,-0.23222060957910015,0.2612481857764877,1.2181906144170296,50.0,-95.0,-14.960629921259837,72.0,3.609022556390973,-97.0,-3.7093690248566014,145.0
2003,gasoline,55.0,782.0,2005.0,2732.0,two_refineries,-727.0,0.02743142144638404,-0.36259351620947633,0.3900249376558603,1.3625935162094762,-5.0,242.0,44.81481481481482,-62.0,-2.9995162070633796,214.0,8.498808578236705,-247.0
2004,gasoline,130.0,805.0,1927.0,2551.0,two_refineries,-675.0,0.06746237675142709,-0.3502854177477945,0.4177477944992216,1.32381940840685,75.0,23.0,2.941176470588225,-78.0,-3.890274314214459,-181.0,-6.625183016105418,52.0
2005,gasoline,128.0,792.0,1808.0,2466.0,two_refineries,-664.0,0.07079646017699115,-0.3672566371681416,0.43805309734513276,1.363938053097345,-2.0,-13.0,-1.6149068322981353,-119.0,-6.175402179553712,-85.0,-3.3320266562132494,11.0
2006,gasoline,104.0,1270.0,1674.0,2750.0,two_refineries,-1166.0,0.06212664277180406,-0.6965352449223416,0.7586618876941458,1.6427718040621266,-24.0,478.0,60.35353535353536,-134.0,-7.411504424778759,284.0,11.516626115166261,-502.0
2007,gasoline,89.0,1091.0,1589.0,2591.0,two_refineries,-1002.0,0.05601006922592826,-0.63058527375708,0.6865953429830082,1.6305852737570798,-15.0,-179.0,-14.094488188976372,-85.0,-5.07765830346476,-159.0,-5.781818181818177,164.0
2008,gasoline,115.0,767.0,1488.0,2091.0,two_refineries,-652.0,0.07728494623655914,-0.4381720430107527,0.5154569892473119,1.405241935483871,26.0,-324.0,-29.69752520623281,-101.0,-6.356198867212082,-500.0,-19.2975685063682,350.0
2009,gasoline,240.0,835.0,1462.0,2056.0,two_refineries,-595.0,0.16415868673050615,-0.4069767441860465,0.5711354309165527,1.4062927496580027,125.0,68.0,8.865710560625818,-26.0,-1.7473118279569877,-35.0,-1.6738402678144415,57.0
2010,gasoline,178.0,1035.0,1388.0,2218.0,two_refineries,-857.0,0.1282420749279539,-0.6174351585014409,0.7456772334293948,1.5979827089337175,-62.0,200.0,23.952095808383223,-74.0,-5.061559507523938,162.0,7.879377431906609,-262.0
2011,gasoline,191.0,799.0,1248.0,1875.0,two_refineries,-608.0,0.1530448717948718,-0.48717948717948717,0.6402243589743589,1.5024038461538463,13.0,-236.0,-22.801932367149757,-140.0,-10.086455331412104,-343.0,-15.4643823264202,249.0
2012,gasoline,160.0,898.0,1127.0,1864.0,two_refineries,-738.0,0.1419698314108252,-0.6548358473824313,0.7968056787932565,1.6539485359361137,-31.0,99.0,12.390488110137676,-121.0,-9.69551282051282,-11.0,-0.5866666666666687,-130.0
2013,gasoline,102.0,1293.0,1100.0,2338.0,two_refineries,-1191.0,0.09272727272727273,-1.0827272727272728,1.1754545454545455,2.1254545454545455,-58.0,395.0,43.986636971046764,-27.0,-2.395740905057675,474.0,25.429184549356233,-453.0
2014,gasoline,154.0,976.0,1092.0,1924.0,two_refineries,-822.0,0.14102564102564102,-0.7527472527472527,0.8937728937728938,1.7619047619047619,52.0,-317.0,-24.516627996906415,-8.0,-0.727272727272732,-414.0,-17.707442258340468,369.0
2015,gasoline,137.0,1786.0,1080.0,2694.0,two_refineries,-1649.0,0.12685185185185185,-1.526851851851852,1.6537037037037037,2.4944444444444445,-17.0,810.0,82.99180327868851,-12.0,-1.098901098901095,770.0,40.02079002079002,-827.0
2016,gasoline,167.0,1742.0,1069.0,2619.0,two_refineries,-1575.0,0.15622076707202995,-1.4733395696913003,1.6295603367633302,2.449953227315248,30.0,-44.0,-2.4636058230683044,-11.0,-1.0185185185185186,-75.0,-2.7839643652561197,74.0
2017,gasoline,123.558,1884.529,1032.265,2748.512,two_refineries,-1760.971,0.11969600829244428,-1.705929194538224,1.8256252028306683,2.6626031106353505,-43.44199999999999,142.529,8.18191733639495,-36.7349999999999,-3.436389148737129,129.51200000000017,4.945093547155399,-185.971
2018,gasoline,149.197,1643.801,1027.241,2501.064,two_refineries,-1494.6039999999998,0.1452405034456374,-1.454969184446493,1.6002096878921304,2.4347392676110085,25.638999999999996,-240.72800000000007,-12.773907963209908,-5.024000000000115,-0.48669673000635294,-247.44800000000032,-9.002980521824188,266.3670000000002
2019,gasoline,261.213,1585.344,1067.33,2401.214,two_refineries,-1324.131,0.24473499292627401,-1.2406013135581313,1.4853363064844052,2.2497390685167664,112.01600000000002,-58.45699999999988,-3.556209054502335,40.08899999999994,3.9025895578544745,-99.84999999999991,-3.992300876746857,170.47299999999973
2020,gasoline,192.841,1271.342,883.055,1956.074,two_refineries,-1078.5010000000002,0.21837937614304886,-1.2213293622707535,1.4397087384138023,2.215121368431185,-68.37200000000001,-314.00199999999995,-19.806553025715544,-184.27499999999998,-17.265044550420207,-445.1399999999999,-18.53812279955056,245.62999999999988
2021,gasoline,202.473,1423.946,975.759,2146.288,transition,-1221.473,0.20750308221599803,-1.2518183280912603,1.459321410307258,2.199608714856845,9.632000000000005,152.60399999999981,12.003379106487454,92.70400000000006,10.498100344825634,190.21399999999994,9.724274235023822,-142.97199999999975
2022,gasoline,230.427,1501.699,1073.189,2246.725,sines_only,-1271.2720000000002,0.21471241319096634,-1.1845741989528407,1.3992866121438068,2.093503567405182,27.95399999999998,77.75300000000016,5.460389649607511,97.43000000000006,9.985047537352987,100.4369999999999,4.679567700140885,-49.799000000000206
2023,gasoline,346.582,1254.246,1192.692,2063.427,sines_only,-907.6640000000001,0.290588014340668,-0.7610212863002351,1.051609300640903,1.7300585566097535,116.155,-247.45299999999997,-16.478202356131288,119.50299999999993,11.135317264712906,-183.29799999999977,-8.158452859161658,363.60800000000006
2024,gasoline,299.797,1728.079,1259.624,2659.882,sines_only,-1428.282,0.23800515074339645,-1.1338955116765002,1.3719006624198966,2.1116476027767015,-46.78499999999997,473.83299999999986,37.778314620895735,66.93200000000002,5.6118427892532186,596.4549999999999,28.9060383527016,-520.6179999999998
