product,year,flow,monthly_source_kt,annual_source_kt,difference_kt,difference_pct,within_tolerance
diesel,2023,exports,285.0,283.668,1.3319999999999936,0.4695630102796204,True
diesel,2023,demand,5084.0,5141.595,-57.595000000000255,-1.1201776880520586,True
diesel,2023,refinery_output,3348.0,3487.259,-139.25900000000001,-3.9933655630396254,True
diesel,2024,imports,1222.0,1254.293,-32.29299999999989,-2.5745978013111683,True
diesel,2024,exports,731.0,728.175,2.8250000000000455,0.387956191849493,True
diesel,2024,demand,4868.0,5016.635,-148.63500000000022,-2.962842622594632,True
diesel,2024,refinery_output,4133.0,4291.379,-158.3789999999999,-3.6906318458472183,True
gasoline,2002,imports,36.0,60.0,-24.0,-40.0,False
gasoline,2002,exports,541.0,540.0,1.0,0.1851851851851852,True
gasoline,2002,demand,2023.0,2067.0,-44.0,-2.1286889211417512,True
gasoline,2002,refinery_output,2516.0,2518.0,-2.0,-0.07942811755361398,True
gasoline,2003,imports,49.0,55.0,-6.0,-10.909090909090908,False
gasoline,2003,exports,781.0,782.0,-1.0,-0.1278772378516624,True
gasoline,2003,demand,1991.0,2005.0,-14.0,-0.6982543640897756,True
gasoline,2003,refinery_output,2779.0,2732.0,47.0,1.7203513909224013,True
gasoline,2004,imports,131.0,130.0,1.0,0.7692307692307693,True
gasoline,2004,exports,804.0,805.0,-1.0,-0.12422360248447205,True
gasoline,2004,demand,1927.0,1927.0,0.0,0.0,True
gasoline,2004,refinery_output,2520.0,2551.0,-31.0,-1.2152097216777733,True
gasoline,2005,imports,130.0,128.0,2.0,1.5625,True
gasoline,2005,exports,792.0,792.0,0.0,0.0,True
gasoline,2005,demand,1804.0,1808.0,-4.0,-0.22123893805309736,True
gasoline,2005,refinery_output,2476.0,2466.0,10.0,0.40551500405515,True
gasoline,2006,imports,104.0,104.0,0.0,0.0,True
gasoline,2006,exports,1273.0,1270.0,3.0,0.23622047244094488,True
gasoline,2006,demand,1678.0,1674.0,4.0,0.23894862604540024,True
gasoline,2006,refinery_output,2726.0,2750.0,-24.0,-0.8727272727272728,True
gasoline,2007,imports,92.0,89.0,3.0,3.3707865168539324,True
gasoline,2007,exports,1091.0,1091.0,0.0,0.0,True
gasoline,2007,demand,1587.0,1589.0,-2.0,-0.12586532410320958,True
gasoline,2007,refinery_output,2566.0,2591.0,-25.0,-0.96487842531841,True
gasoline,2008,imports,116.0,115.0,1.0,0.8695652173913043,True
gasoline,2008,exports,766.0,767.0,-1.0,-0.1303780964797914,True
gasoline,2008,demand,1487.0,1488.0,-1.0,-0.06720430107526883,True
gasoline,2008,refinery_output,2107.0,2091.0,16.0,0.7651841224294597,True
gasoline,2009,imports,235.0,240.0,-5.0,-2.083333333333333,True
gasoline,2009,exports,836.0,835.0,1.0,0.11976047904191617,True
gasoline,2009,demand,1476.0,1462.0,14.0,0.957592339261286,True
gasoline,2009,refinery_output,2025.0,2056.0,-31.0,-1.5077821011673151,True
gasoline,2010,imports,175.0,178.0,-3.0,-1.6853932584269662,True
gasoline,2010,exports,1035.0,1035.0,0.0,0.0,True
gasoline,2010,demand,1404.0,1388.0,16.0,1.1527377521613833,True
gasoline,2010,refinery_output,2168.0,2218.0,-50.0,-2.254283137962128,True
gasoline,2011,imports,178.0,191.0,-13.0,-6.806282722513089,False
gasoline,2011,exports,821.0,799.0,22.0,2.753441802252816,True
gasoline,2011,demand,1264.0,1248.0,16.0,1.282051282051282,True
gasoline,2011,refinery_output,1782.0,1875.0,-93.0,-4.96,True
gasoline,2012,imports,160.0,160.0,0.0,0.0,True
gasoline,2012,exports,901.0,898.0,3.0,0.33407572383073497,True
gasoline,2012,demand,1129.0,1127.0,2.0,0.1774622892635315,True
gasoline,2012,refinery_output,1805.0,1864.0,-59.0,-3.165236051502146,True
gasoline,2013,imports,104.0,102.0,2.0,1.9607843137254901,True
gasoline,2013,exports,1212.0,1293.0,-81.0,-6.2645011600928076,False
gasoline,2013,demand,1073.0,1100.0,-27.0,-2.4545454545454546,True
gasoline,2013,refinery_output,2162.0,2338.0,-176.0,-7.527801539777587,False
gasoline,2014,imports,152.0,154.0,-2.0,-1.2987012987012987,True
gasoline,2014,exports,976.0,976.0,0.0,0.0,True
gasoline,2014,demand,1085.0,1092.0,-7.0,-0.641025641025641,True
gasoline,2014,refinery_output,1847.0,1924.0,-77.0,-4.002079002079002,True
gasoline,2015,imports,138.0,137.0,1.0,0.7299270072992701,True
gasoline,2015,exports,1758.0,1786.0,-28.0,-1.5677491601343785,True
gasoline,2015,demand,1077.0,1080.0,-3.0,-0.2777777777777778,True
gasoline,2015,refinery_output,2632.0,2694.0,-62.0,-2.3014105419450632,True
gasoline,2016,imports,136.0,167.0,-31.0,-18.562874251497004,False
gasoline,2016,exports,1390.0,1742.0,-352.0,-20.20665901262916,False
gasoline,2016,demand,1056.0,1069.0,-13.0,-1.216089803554724,True
gasoline,2016,refinery_output,2410.0,2619.0,-209.0,-7.980145093547156,False
gasoline,2017,imports,123.0,123.558,-0.5580000000000069,-0.45160977031030514,True
gasoline,2017,exports,1871.0,1884.529,-13.528999999999996,-0.7178982122323401,True
gasoline,2017,demand,1034.0,1032.265,1.7349999999999,0.1680769957326752,True
gasoline,2017,refinery_output,2724.0,2748.512,-24.51200000000017,-0.8918280145766208,True
gasoline,2018,imports,148.0,149.197,-1.1970000000000027,-0.8022949523113754,True
gasoline,2018,exports,1680.0,1643.801,36.19900000000007,2.202152206988563,True
gasoline,2018,demand,1014.0,1027.241,-13.240999999999985,-1.2889867129524606,True
gasoline,2018,refinery_output,2549.0,2501.064,47.93600000000015,1.916624284704436,True
gasoline,2019,imports,232.0,261.213,-29.213000000000022,-11.183593465868856,False
gasoline,2019,exports,1572.0,1585.344,-13.344000000000051,-0.8417100641879649,True
gasoline,2019,demand,1042.0,1067.33,-25.329999999999927,-2.373211658999553,True
gasoline,2019,refinery_output,2421.0,2401.214,19.786000000000058,0.8239998600707833,True
gasoline,2020,imports,192.0,192.841,-0.8410000000000082,-0.4361105781446934,True
gasoline,2020,exports,1278.0,1271.342,6.657999999999902,0.5236985799257714,True
gasoline,2020,demand,885.0,883.055,1.94500000000005,0.22025808131996877,True
gasoline,2020,refinery_output,1956.0,1956.074,-0.07400000000006912,-0.003783087960888449,True
gasoline,2021,imports,255.0,202.473,52.52699999999999,25.942718288364365,False
gasoline,2021,exports,1431.0,1423.946,7.054000000000087,0.4953839541668074,True
gasoline,2021,demand,962.0,975.759,-13.759000000000015,-1.4100817927377574,True
gasoline,2021,refinery_output,2076.0,2146.288,-70.28800000000001,-3.274863392051766,True
gasoline,2022,imports,231.0,230.427,0.5730000000000075,0.24866877579450652,True
gasoline,2022,exports,1346.0,1501.699,-155.69900000000007,-10.368189630545139,False
gasoline,2022,demand,1104.0,1073.189,30.810999999999922,2.8709761281563564,True
gasoline,2022,refinery_output,2241.0,2246.725,-5.724999999999909,-0.25481534233161196,True
gasoline,2023,imports,348.0,346.582,1.4180000000000064,0.4091383857211299,True
gasoline,2023,exports,1254.0,1254.246,-0.2460000000000946,-0.01961337728006265,True
gasoline,2023,demand,1188.0,1192.692,-4.692000000000007,-0.39339578030204003,True
gasoline,2023,refinery_output,2088.0,2063.427,24.572999999999865,1.190882934070353,True
gasoline,2024,imports,302.0,299.797,2.2029999999999745,0.7348305686848016,True
gasoline,2024,exports,1697.0,1728.079,-31.07899999999995,-1.798471018975403,True
gasoline,2024,demand,1250.0,1259.624,-9.624000000000024,-0.7640375223082463,True
gasoline,2024,refinery_output,2669.0,2659.882,9.117999999999938,0.3427971616785984,True
