product,value_column,target_year,target_value,baseline_start,baseline_end,baseline_n,baseline_mean,baseline_std,z_score,baseline_median,baseline_mad,robust_z_score,empirical_percentile,baseline_trend_per_year,baseline_trend_t_statistic,baseline_trend_residual_sd,trend_extrapolated_expectation,detrended_z_score,prediction_interval_low,prediction_interval_high,outside_prediction_interval
diesel,refinery_output_kt,2022,4285.346,2015,2020,6,5392.4075,616.0302827357597,-1.7970894143119003,5459.317,559.9884999999999,-1.4140158081701648,0.0,-301.6532285714296,-4.569455960297796,276.1611014675519,4034.967971428569,0.906637564960789,3681.971254997885,7102.843745002116,False
gasoline,refinery_output_kt,2022,2246.725,2015,2020,6,2486.6440000000002,289.1713046261679,-0.8296777590368467,2560.032,146.39300000000003,-1.4435299254700276,16.666666666666664,-131.15531428571444,-3.2070946061131123,171.07759858597177,1896.445085714285,2.0474914143109655,1683.7466517550222,3289.5413482449785,False
diesel,net_imports_kt,2022,693.9069999999999,2013,2019,7,-776.1725714285715,644.3058080657707,2.281648796309633,-1114.0,388.0,3.1428261997243627,100.0,191.81046428571426,1.8778763392367268,540.4858421786234,374.69021428571386,0.5906108186434033,-2461.585589831072,909.2404469739292,False
gasoline,net_imports_kt,2022,-1271.2720000000002,2013,2019,7,-1402.3865714285712,320.24917766111287,0.40941423296117324,-1494.6039999999998,170.47299999999973,0.8836318378595259,71.42857142857143,-66.30614285714292,-1.1182082101168025,313.76905089544533,-1800.223428571429,1.6857986058914616,-2240.1132012460025,-564.6599416111399,False
diesel,net_imports_kt,2022,693.9069999999999,2013,2020,8,-725.8061250000001,613.2861678450976,2.3149276788492448,-855.0,406.5150000000001,2.5699505769494717,100.0,161.45127380952374,2.066603212291925,506.30127484741837,162.17588095238034,1.0502267038688868,-2263.9663267938367,812.3540767938366,False
gasoline,net_imports_kt,2022,-1271.2720000000002,2013,2020,8,-1361.900875,317.837861902861,0.28514184703299533,-1409.3674999999998,229.0,0.40674296364759793,62.5,-17.21363095238111,-0.32784886353812975,340.26983493720456,-1456.575845238096,0.5445791140207681,-2159.0581817105403,-564.7435682894597,False
diesel,net_imports_kt,2022,693.9069999999999,2015,2020,6,-682.5748333333333,700.4718832031494,1.9650779229551585,-743.6205,454.24800000000005,2.134514659929138,100.0,313.36585714285724,3.0584778491688414,428.61302138131447,727.571523809524,-0.07854293297257188,-2627.467042714336,1262.3173760476693,False
gasoline,net_imports_kt,2022,-1271.2720000000002,2015,2020,6,-1480.367833333333,245.86165215862076,0.8504613529499592,-1534.802,162.43449999999996,1.0942783081480043,83.33333333333334,110.61340000000018,3.1175656710530832,148.42640050588477,-982.6075333333326,-1.944832359221853,-2163.013951379108,-797.721715287558,False
diesel,net_import_to_demand_ratio,2022,0.1404041348286961,2013,2019,7,-0.16341130377758692,0.13356690125151988,2.2746311830216683,-0.2306418219461697,0.08266648009805219,3.0274310565655256,100.0,0.04154912866107369,2.029056257169259,0.10835447389910106,0.08588346818885523,0.5031695017098246,-0.5128034579051391,0.18598085034996534,False
gasoline,net_import_to_demand_ratio,2022,-1.1845741989528409,2013,2019,7,-1.3195950913657895,0.3208934834488526,0.4207654545109191,-1.454969184446493,0.21436787088836162,0.8507754374220355,71.42857142857143,-0.07346940459205102,-1.2724837826384081,0.3055155219652647,-1.7604115189180956,1.8848054470722568,-2.159007134148453,-0.48018304858312555,False
diesel,net_import_to_demand_ratio,2022,0.1404041348286961,2013,2020,8,-0.153489399705434,0.12680332170218336,2.3177116386933707,-0.1795450489041193,0.08048251372963591,2.6813621733387625,100.0,0.034314021822151056,2.168478834409731,0.10255127890579695,0.03523772031639688,1.0255007605405342,-0.47152008933093836,0.16454128992007036,False
gasoline,net_import_to_demand_ratio,2022,-1.1845741989528409,2013,2020,8,-1.3073118752289101,0.29911414463495156,0.41033725244208097,-1.3477852490023121,0.1527612447905492,0.7206300606791793,75.0,-0.040790792303447766,-0.8680969623047967,0.30452191319664906,-1.531661232897873,1.139776872874485,-2.057508923839495,-0.5571148266183252,False
